"Wavenumber (cm-1)","Refractive index","Extinction coefficient"
7572.335466,1.553767681,4.91375E-05
7571.853336,1.553767681,4.91423E-05
7571.371206,1.553767681,4.91105E-05
7570.889076,1.553767681,4.90926E-05
7570.406946,1.553767443,4.91469E-05
7569.924817,1.553767443,4.92636E-05
7569.442687,1.553767443,4.93637E-05
7568.960557,1.553767562,4.93972E-05
7568.478427,1.553767562,4.93799E-05
7567.996297,1.553767562,4.9351E-05
7567.514167,1.553767562,4.93086E-05
7567.032037,1.553767562,4.92324E-05
7566.549908,1.553767323,4.917E-05
7566.067778,1.553767204,4.92227E-05
7565.585648,1.553766966,4.94354E-05
7565.103518,1.553767085,4.97135E-05
7564.621388,1.553767204,4.98859E-05
7564.139258,1.553767443,4.98643E-05
7563.657128,1.553767562,4.97167E-05
7563.174999,1.553767562,4.95854E-05
7562.692869,1.553767443,4.95499E-05
7562.210739,1.553767443,4.95812E-05
7561.728609,1.553767323,4.96219E-05
7561.246479,1.553767323,4.96588E-05
7560.764349,1.553767323,4.97064E-05
7560.282219,1.553767323,4.97694E-05
7559.80009,1.553767323,4.98247E-05
7559.31796,1.553767443,4.98504E-05
7558.83583,1.553767443,4.98429E-05
7558.3537,1.553767681,4.98002E-05
7557.87157,1.553767681,4.97127E-05
7557.38944,1.553767681,4.95794E-05
7556.90731,1.553767562,4.94389E-05
7556.425181,1.553767562,4.93559E-05
7555.943051,1.553767323,4.93648E-05
7555.460921,1.553767323,4.94243E-05
7554.978791,1.553767323,4.9468E-05
7554.496661,1.553767323,4.9456E-05
7554.014531,1.553767323,4.94138E-05
7553.532401,1.553767323,4.93844E-05
7553.050272,1.553767204,4.93775E-05
7552.568142,1.553767204,4.93638E-05
7552.086012,1.553767204,4.93182E-05
7551.603882,1.553767204,4.92638E-05
7551.121752,1.553766966,4.92546E-05
7550.639622,1.553766966,4.93167E-05
7550.157492,1.553766847,4.94098E-05
7549.675363,1.553766966,4.94573E-05
7549.193233,1.553766966,4.94238E-05
7548.711103,1.553766966,4.93611E-05
7548.228973,1.553766847,4.93566E-05
7547.746843,1.553766727,4.9429E-05
7547.264713,1.553766847,4.95078E-05
7546.782583,1.553766847,4.95027E-05
7546.300453,1.553766847,4.94061E-05
7545.818324,1.553766847,4.93012E-05
7545.336194,1.553766727,4.92664E-05
7544.854064,1.553766608,4.93011E-05
7544.371934,1.553766608,4.93364E-05
7543.889804,1.553766608,4.93293E-05
7543.407674,1.553766489,4.93062E-05
7542.925544,1.553766489,4.93202E-05
7542.443415,1.55376637,4.93867E-05
7541.961285,1.55376637,4.94715E-05
7541.479155,1.55376637,4.95317E-05
7540.997025,1.55376637,4.95577E-05
