Microplastics combined: 100 MP m-3
Mean net RF (W m-2):,-3.9991e-02
Mean Delta TOA up flux SW (W m-2):,2.8359e-01
Mean Delta TOA up flux LW (W m-2):,-2.4360e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case4,17,7.6294e-06,1.7881e-07,1.6956e-01,-8.8215e-05,0.0000e+00,-2.0201e-01
case4,22,9.0599e-06,3.0734e-07,1.6953e-01,-1.1921e-04,0.0000e+00,-2.0201e-01
case4,29,1.0967e-05,4.8615e-07,1.6956e-01,-1.3638e-04,0.0000e+00,-2.0201e-01
case4,37,1.2398e-05,6.8918e-07,1.6953e-01,-1.5068e-04,0.0000e+00,-2.0201e-01
case4,48,1.6212e-05,9.7230e-07,1.6953e-01,-1.6212e-04,0.0000e+00,-2.0201e-01
case4,61,1.9073e-05,1.3076e-06,1.6953e-01,-1.7262e-04,0.0000e+00,-2.0201e-01
case4,77,2.3842e-05,1.7211e-06,1.6953e-01,-1.8024e-04,0.0000e+00,-2.0203e-01
case4,99,2.8610e-05,2.2799e-06,1.6953e-01,-1.8597e-04,0.0000e+00,-2.0203e-01
case4,126,3.6240e-05,2.9802e-06,1.6953e-01,-1.9646e-04,0.0000e+00,-2.0204e-01
case4,161,4.3869e-05,3.8743e-06,1.6956e-01,-2.0885e-04,0.0000e+00,-2.0204e-01
case4,206,5.2452e-05,5.0217e-06,1.6956e-01,-2.2221e-04,0.0000e+00,-2.0206e-01
case4,264,6.0081e-05,6.4969e-06,1.6956e-01,-2.2364e-04,0.0000e+00,-2.0207e-01
case4,340,6.6757e-05,8.4639e-06,1.6956e-01,-2.1696e-04,0.0000e+00,-2.0209e-01
case4,442,7.0095e-05,1.1057e-05,1.6959e-01,-2.1172e-04,0.0000e+00,-2.0210e-01
case4,577,7.1049e-05,1.4484e-05,1.6959e-01,-2.1315e-04,0.0000e+00,-2.0215e-01
case4,760,7.0095e-05,1.9193e-05,1.6959e-01,-2.1529e-04,0.0000e+00,-2.0219e-01
case4,1009,6.7472e-05,2.5630e-05,1.6962e-01,-2.2292e-04,0.0000e+00,-2.0226e-01
case4,1340,6.7472e-05,3.4094e-05,1.6965e-01,-2.3770e-04,0.0000e+00,-2.0233e-01
case4,1663,6.9141e-05,4.2319e-05,1.6971e-01,-2.6155e-04,0.0000e+00,-2.0244e-01
case4,2069,7.0095e-05,5.2691e-05,1.6977e-01,-2.8920e-04,0.0000e+00,-2.0256e-01
case4,2581,7.0333e-05,6.5804e-05,1.6980e-01,-3.0136e-04,0.0000e+00,-2.0273e-01
case4,3036,7.1526e-05,7.7486e-05,1.6986e-01,-3.1507e-04,0.0000e+00,-2.0290e-01
case4,3761,6.4254e-05,9.6321e-05,1.6992e-01,-3.1734e-04,0.0000e+00,-2.0317e-01
case4,4752,5.8532e-05,1.2159e-04,1.7001e-01,-3.2794e-04,0.0000e+00,-2.0354e-01
case4,5999,5.3287e-05,1.5354e-04,1.7014e-01,-3.3998e-04,0.0000e+00,-2.0403e-01
case4,7583,5.1975e-05,1.9455e-04,1.7029e-01,-3.7801e-04,0.0000e+00,-2.0467e-01
case4,9565,5.0902e-05,2.4509e-04,1.7047e-01,-4.2295e-04,0.0000e+00,-2.0557e-01
case4,12062,4.9531e-05,3.0994e-04,1.7065e-01,-4.5758e-04,0.0000e+00,-2.0680e-01
case4,14080,4.8399e-05,3.6240e-04,1.7084e-01,-4.7827e-04,0.0000e+00,-2.0790e-01
case4,16417,4.9651e-05,4.2343e-04,1.7105e-01,-4.7667e-04,0.0000e+00,-2.0923e-01
case4,19217,6.1214e-05,4.9591e-04,1.7126e-01,-4.8330e-04,0.0000e+00,-2.1082e-01
case4,22563,7.9751e-05,5.8365e-04,1.7160e-01,-5.2199e-04,0.0000e+00,-2.1272e-01
