Microplastics boundary layer: 100 MP m-3
Mean net RF (W m-2):,-3.1625e-02
Mean Delta TOA up flux SW (W m-2):,4.5526e-02
Mean Delta TOA up flux LW (W m-2):,-1.3901e-02
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case3,6023,3.6180e-05,3.8862e-04,6.7444e-02,-5.9355e-05,0.0000e+00,-2.5055e-02
case3,7660,2.0742e-05,4.9496e-04,6.7612e-02,-4.2759e-05,0.0000e+00,-2.5177e-02
case3,9807,1.5259e-05,6.3562e-04,6.7795e-02,-3.7901e-05,0.0000e+00,-2.5269e-02
case3,12555,1.4186e-05,8.1635e-04,6.8024e-02,-4.0129e-05,0.0000e+00,-2.5391e-02
case3,14722,1.2845e-05,9.5844e-04,6.8207e-02,-4.0412e-05,0.0000e+00,-2.5482e-02
case3,17312,9.9540e-06,1.1292e-03,6.8420e-02,-3.4600e-05,0.0000e+00,-2.5604e-02
case3,20268,7.4506e-06,1.3237e-03,6.8649e-02,-2.8372e-05,0.0000e+00,-2.5726e-02
case3,23724,6.2585e-06,1.5507e-03,6.8909e-02,-2.5392e-05,0.0000e+00,-2.5879e-02
case3,27641,6.0797e-06,1.8101e-03,6.9183e-02,-2.5272e-05,0.0000e+00,-2.5970e-02
case3,29788,6.1989e-06,1.9531e-03,6.9351e-02,-2.5749e-05,0.0000e+00,-2.6031e-02
case3,32017,6.4373e-06,2.0981e-03,6.9519e-02,-2.6584e-05,0.0000e+00,-2.6093e-02
case3,34396,7.0333e-06,2.2564e-03,6.9702e-02,-2.8253e-05,0.0000e+00,-2.6184e-02
case3,36911,7.8678e-06,2.4223e-03,6.9885e-02,-3.0398e-05,0.0000e+00,-2.6245e-02
case3,39552,9.4175e-06,2.5978e-03,7.0084e-02,-3.3617e-05,0.0000e+00,-2.6367e-02
case3,42354,1.1563e-05,2.7828e-03,7.0297e-02,-3.8624e-05,0.0000e+00,-2.6489e-02
case3,45281,1.4067e-05,2.9755e-03,7.0541e-02,-4.4346e-05,0.0000e+00,-2.6611e-02
case3,48402,1.7047e-05,3.1815e-03,7.0786e-02,-5.1498e-05,0.0000e+00,-2.6764e-02
case3,51659,2.1219e-05,3.3951e-03,7.1075e-02,-6.2227e-05,0.0000e+00,-2.6978e-02
case3,55123,2.6345e-05,3.6240e-03,7.1381e-02,-7.6056e-05,0.0000e+00,-2.7222e-02
case3,58746,3.2544e-05,3.8643e-03,7.1732e-02,-9.3102e-05,0.0000e+00,-2.7557e-02
case3,62555,3.7789e-05,4.1199e-03,7.2144e-02,-1.0729e-04,0.0000e+00,-2.7985e-02
case3,66554,3.9220e-05,4.3793e-03,7.2586e-02,-1.1086e-04,0.0000e+00,-2.8503e-02
case3,70786,4.4703e-05,4.6616e-03,7.3059e-02,-1.2720e-04,0.0000e+00,-2.9022e-02
case3,75270,9.2745e-05,4.9591e-03,7.3593e-02,-2.9027e-04,0.0000e+00,-2.9724e-02
case3,79992,4.1580e-04,5.2681e-03,7.4432e-02,-1.9895e-03,0.0000e+00,-3.1342e-02
case3,84997,4.3678e-04,7.7251e-02,5.6793e-02,-1.8730e-03,1.7975e-02,-2.5177e-02
case3,90242,4.4155e-04,1.6967e-01,3.2883e-02,-1.8457e-03,3.8147e-02,-1.6632e-02
case3,92953,4.3321e-04,2.2576e-01,1.7868e-02,-1.8208e-03,4.9377e-02,-1.1383e-02
case3,95725,4.2295e-04,2.8978e-01,3.9673e-04,-1.7818e-03,6.1432e-02,-5.3101e-03
case3,97144,4.0793e-04,3.2547e-01,-9.4757e-03,-1.2798e-03,6.7932e-02,-1.7700e-03
case3,97778,0.0000e+00,3.4199e-01,-1.4099e-02,0.0000e+00,7.0679e-02,0.0000e+00
case4,10,9.5367e-07,0.0000e+00,2.8107e-02,-3.8147e-06,0.0000e+00,-1.6037e-02
case4,13,9.5367e-07,1.4668e-08,2.8107e-02,-4.7684e-06,0.0000e+00,-1.6037e-02
case4,17,1.4305e-06,3.3528e-08,2.8107e-02,-6.6757e-06,0.0000e+00,-1.6037e-02
case4,22,1.4305e-06,5.8673e-08,2.8107e-02,-8.5831e-06,0.0000e+00,-1.6037e-02
case4,29,1.9073e-06,9.1270e-08,2.8107e-02,-1.0490e-05,0.0000e+00,-1.6037e-02
case4,37,1.9073e-06,1.3039e-07,2.8107e-02,-1.1444e-05,0.0000e+00,-1.6037e-02
case4,48,2.8610e-06,1.8254e-07,2.8107e-02,-1.1444e-05,0.0000e+00,-1.6037e-02
case4,61,2.8610e-06,2.4959e-07,2.8107e-02,-1.3351e-05,0.0000e+00,-1.6037e-02
case4,77,3.8147e-06,3.2783e-07,2.8107e-02,-1.3351e-05,0.0000e+00,-1.6037e-02
case4,99,4.7684e-06,4.3213e-07,2.8107e-02,-1.3351e-05,0.0000e+00,-1.6037e-02
case4,126,5.7220e-06,5.6624e-07,2.8107e-02,-1.3351e-05,0.0000e+00,-1.6052e-02
case4,161,7.6294e-06,7.4506e-07,2.8107e-02,-1.5259e-05,0.0000e+00,-1.6037e-02
case4,206,9.5367e-06,9.5367e-07,2.8107e-02,-1.5259e-05,0.0000e+00,-1.6037e-02
case4,264,1.0490e-05,1.2219e-06,2.8107e-02,-1.5259e-05,0.0000e+00,-1.6052e-02
case4,340,1.1444e-05,1.6093e-06,2.8107e-02,-1.5259e-05,0.0000e+00,-1.6037e-02
case4,442,1.2398e-05,2.0862e-06,2.8107e-02,-1.5259e-05,0.0000e+00,-1.6037e-02
case4,577,1.2875e-05,2.7418e-06,2.8107e-02,-1.5736e-05,0.0000e+00,-1.6052e-02
case4,760,1.2398e-05,3.6359e-06,2.8107e-02,-1.5974e-05,0.0000e+00,-1.6052e-02
case4,1009,1.1921e-05,4.8876e-06,2.8107e-02,-1.6689e-05,0.0000e+00,-1.6068e-02
case4,1340,1.1921e-05,6.5565e-06,2.8107e-02,-1.8120e-05,0.0000e+00,-1.6052e-02
case4,1663,1.1921e-05,8.1062e-06,2.8137e-02,-2.0027e-05,0.0000e+00,-1.6083e-02
case4,2069,1.2159e-05,1.0014e-05,2.8137e-02,-2.2411e-05,0.0000e+00,-1.6083e-02
case4,2581,1.1683e-05,1.2398e-05,2.8137e-02,-2.3603e-05,0.0000e+00,-1.6098e-02
case4,3036,1.1206e-05,1.4782e-05,2.8168e-02,-2.3961e-05,0.0000e+00,-1.6098e-02
case4,3761,9.8944e-06,1.8358e-05,2.8168e-02,-2.4199e-05,0.0000e+00,-1.6129e-02
case4,4752,8.7023e-06,2.2888e-05,2.8168e-02,-2.4676e-05,0.0000e+00,-1.6159e-02
case4,5999,7.7486e-06,2.9087e-05,2.8198e-02,-2.5392e-05,0.0000e+00,-1.6190e-02
case4,7583,7.0333e-06,3.6716e-05,2.8229e-02,-2.7716e-05,0.0000e+00,-1.6251e-02
case4,9565,6.5565e-06,4.5776e-05,2.8259e-02,-3.0339e-05,0.0000e+00,-1.6312e-02
