The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  348.03        253.88        117.13         65.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
    1053.0  0.0000533941  0.0000531960  0.0000004120  0.0000015136
    1054.0  0.0000522761  0.0000520817  0.0000003969  0.0000014898
    1055.0  0.0000536059  0.0000534061  0.0000004103  0.0000015351
    1056.0  0.0000569996  0.0000567868  0.0000004473  0.0000016395
    1057.0  0.0000621766  0.0000619440  0.0000005056  0.0000017958
    1058.0  0.0000691299  0.0000688709  0.0000005862  0.0000020043
    1059.0  0.0000778880  0.0000775959  0.0000006918  0.0000022665
    1060.0  0.0000886449  0.0000883119  0.0000008277  0.0000025886
    1061.0  0.0001015160  0.0001011341  0.0000009994  0.0000029745
    1062.0  0.0001167277  0.0001162881  0.0000012141  0.0000034315
    1063.0  0.0001344440  0.0001339372  0.0000014785  0.0000039650
    1064.0  0.0001548512  0.0001542667  0.0000017986  0.0000045812
    1065.0  0.0001778771  0.0001772051  0.0000021745  0.0000052782
    1066.0  0.0002029038  0.0002021364  0.0000025958  0.0000060378
    1067.0  0.0002286574  0.0002277920  0.0000030385  0.0000068218
    1068.0  0.0002530693  0.0002521107  0.0000034653  0.0000075683
    1069.0  0.0002740935  0.0002730543  0.0000038384  0.0000082160
    1070.0  0.0002900525  0.0002889517  0.0000041278  0.0000087146
    1071.0  0.0003008162  0.0002996732  0.0000043310  0.0000090604
    1072.0  0.0003075084  0.0003063385  0.0000044685  0.0000092874
    1073.0  0.0003126294  0.0003114383  0.0000045857  0.0000094711
    1074.0  0.0003186364  0.0003174207  0.0000047264  0.0000096851
    1075.0  0.0003274265  0.0003261754  0.0000049243  0.0000099863
    1076.0  0.0003393889  0.0003380904  0.0000051839  0.0000103858
    1077.0  0.0003535888  0.0003522343  0.0000054860  0.0000108546
    1078.0  0.0003684019  0.0003669889  0.0000057982  0.0000113428
    1079.0  0.0003818674  0.0003804012  0.0000060823  0.0000117905
    1080.0  0.0003929749  0.0003914644  0.0000063188  0.0000121668
    1081.0  0.0004009820  0.0003994388  0.0000064940  0.0000124489
    1082.0  0.0004062953  0.0004047296  0.0000066162  0.0000126491
    1083.0  0.0004092367  0.0004076576  0.0000066927  0.0000127769
    1084.0  0.0004104519  0.0004088658  0.0000067370  0.0000128516
    1085.0  0.0004103052  0.0004087176  0.0000067571  0.0000128842
    1086.0  0.0004090798  0.0004074947  0.0000067599  0.0000128831
    1087.0  0.0004071984  0.0004056182  0.0000067545  0.0000128616
    1088.0  0.0004053265  0.0004037511  0.0000067555  0.0000128410
    1089.0  0.0004045995  0.0004030246  0.0000067865  0.0000128578
    1090.0  0.0004061922  0.0004046085  0.0000068714  0.0000129496
    1091.0  0.0004109252  0.0004093206  0.0000070256  0.0000131423
    1092.0  0.0004184111  0.0004167747  0.0000072380  0.0000134230
    1093.0  0.0004269953  0.0004253232  0.0000074707  0.0000137376
    1094.0  0.0004337965  0.0004320956  0.0000076582  0.0000139925
    1095.0  0.0004358550  0.0004341441  0.0000077351  0.0000140915
    1096.0  0.0004311554  0.0004294610  0.0000076555  0.0000139691
    1097.0  0.0004195914  0.0004179403  0.0000074173  0.0000136215
    1098.0  0.0004032040  0.0004016147  0.0000070647  0.0000131146
    1099.0  0.0003853411  0.0003838199  0.0000066722  0.0000125570
    1100.0  0.0003695760  0.0003681147  0.0000063197  0.0000120644
    1101.0  0.0003581966  0.0003567778  0.0000060595  0.0000117110
    1102.0  0.0003517010  0.0003503056  0.0000059053  0.0000115130
    1103.0  0.0003489219  0.0003475354  0.0000058334  0.0000114325
    1104.0  0.0003479677  0.0003465833  0.0000058039  0.0000114081
    1105.0  0.0003474499  0.0003460656  0.0000057865  0.0000113953
    1106.0  0.0003468515  0.0003454678  0.0000057700  0.0000113780
    1107.0  0.0003469026  0.0003455167  0.0000057700  0.0000113809
    1108.0  0.0003486940  0.0003472990  0.0000058109  0.0000114403
    1109.0  0.0003534477  0.0003520317  0.0000059198  0.0000115965
    1110.0  0.0003618501  0.0003603984  0.0000061118  0.0000118723
    1111.0  0.0003737727  0.0003722711  0.0000063832  0.0000122635
    1112.0  0.0003882388  0.0003866772  0.0000067104  0.0000127381
    1113.0  0.0004031052  0.0004014820  0.0000070446  0.0000132259
    1114.0  0.0004158011  0.0004141249  0.0000073277  0.0000136425
    1115.0  0.0004235999  0.0004218910  0.0000075008  0.0000138983
    1116.0  0.0004249879  0.0004232714  0.0000075318  0.0000139439
    1117.0  0.0004200557  0.0004183570  0.0000074259  0.0000137821
    1118.0  0.0004110538  0.0004093893  0.0000072342  0.0000134867
    1119.0  0.0004016970  0.0004000678  0.0000070392  0.0000131797
    1120.0  0.0003961836  0.0003945746  0.0000069322  0.0000129988
    1121.0  0.0003979359  0.0003963169  0.0000069865  0.0000130563
    1122.0  0.0004082165  0.0004065529  0.0000072286  0.0000133936
    1123.0  0.0004262107  0.0004244711  0.0000076388  0.0000139840
    1124.0  0.0004486278  0.0004467948  0.0000081444  0.0000147195
    1125.0  0.0004714690  0.0004695405  0.0000086551  0.0000154689
    1126.0  0.0004902580  0.0004882506  0.0000090707  0.0000160854
    1127.0  0.0005015135  0.0004994581  0.0000093120  0.0000164547
    1128.0  0.0005027183  0.0005006559  0.0000093239  0.0000164942
    1129.0  0.0004925133  0.0004904906  0.0000090803  0.0000161594
    1130.0  0.0004708804  0.0004689443  0.0000085889  0.0000154496
    1131.0  0.0004390094  0.0004372020  0.0000078855  0.0000144039
    1132.0  0.0003999741  0.0003983249  0.0000070453  0.0000131232
    1133.0  0.0003584146  0.0003569340  0.0000061700  0.0000117596
    1134.0  0.0003204638  0.0003191369  0.0000053859  0.0000105144
    1135.0  0.0002923149  0.0002911012  0.0000048132  0.0000095909
    1136.0  0.0002789692  0.0002778080  0.0000045445  0.0000091530
    1137.0  0.0002825811  0.0002814025  0.0000046164  0.0000092715
    1138.0  0.0003020018  0.0003007405  0.0000050025  0.0000099087
    1139.0  0.0003329559  0.0003315642  0.0000056189  0.0000109243
    1140.0  0.0003693539  0.0003678095  0.0000063462  0.0000121185
    1141.0  0.0004047311  0.0004030381  0.0000070575  0.0000132792
    1142.0  0.0004334141  0.0004316003  0.0000076375  0.0000142203
    1143.0  0.0004513478  0.0004494578  0.0000080005  0.0000148087
    1144.0  0.0004560800  0.0004541684  0.0000080922  0.0000149640
    1145.0  0.0004471860  0.0004453096  0.0000079007  0.0000146722
    1146.0  0.0004259400  0.0004241506  0.0000074520  0.0000139751
    1147.0  0.0003958665  0.0003942008  0.0000068204  0.0000129884
    1148.0  0.0003620794  0.0003605530  0.0000061142  0.0000118799
    1149.0  0.0003309515  0.0003295530  0.0000054664  0.0000108585
    1150.0  0.0003087432  0.0003074353  0.0000050064  0.0000101299
    1151.0  0.0003001039  0.0002988295  0.0000048287  0.0000098464
    1152.0  0.0003072173  0.0003059101  0.0000049773  0.0000100798
    1153.0  0.0003287116  0.0003273115  0.0000054236  0.0000107850
    1154.0  0.0003606671  0.0003591299  0.0000060866  0.0000118335
    1155.0  0.0003970141  0.0003953211  0.0000068409  0.0000130260
    1156.0  0.0004314685  0.0004296280  0.0000075549  0.0000141565
    1157.0  0.0004584671  0.0004565106  0.0000081106  0.0000150423
    1158.0  0.0004741615  0.0004721368  0.0000084255  0.0000155573
    1159.0  0.0004767636  0.0004747264  0.0000084620  0.0000156426
    1160.0  0.0004665417  0.0004645463  0.0000082272  0.0000153072
    1161.0  0.0004457099  0.0004438014  0.0000077712  0.0000146238
    1162.0  0.0004181236  0.0004163306  0.0000071772  0.0000137186
    1163.0  0.0003886137  0.0003869447  0.0000065464  0.0000127504
    1164.0  0.0003619592  0.0003604018  0.0000059756  0.0000118759
    1165.0  0.0003415362  0.0003400636  0.0000055310  0.0000112058
    1166.0  0.0003281964  0.0003267786  0.0000052277  0.0000107681
    1167.0  0.0003199630  0.0003185782  0.0000050276  0.0000104980
    1168.0  0.0003128554  0.0003114994  0.0000048561  0.0000102648
    1169.0  0.0003025804  0.0003012670  0.0000046353  0.0000099277
    1170.0  0.0002864890  0.0002852435  0.0000043189  0.0000093997
    1171.0  0.0002648241  0.0002636704  0.0000039125  0.0000086889
    1172.0  0.0002407777  0.0002397264  0.0000034719  0.0000078999
    1173.0  0.0002194614  0.0002185005  0.0000030844  0.0000072005
    1174.0  0.0002059369  0.0002050326  0.0000028338  0.0000067568
    1175.0  0.0002036286  0.0002027324  0.0000027761  0.0000066811
    1176.0  0.0002129889  0.0002120502  0.0000029182  0.0000069882
    1177.0  0.0002316147  0.0002305934  0.0000032204  0.0000075993
    1178.0  0.0002548016  0.0002536779  0.0000036052  0.0000083600
    1179.0  0.0002770514  0.0002758296  0.0000039807  0.0000090901
    1180.0  0.0002932092  0.0002919160  0.0000042590  0.0000096202
    1181.0  0.0002997830  0.0002984601  0.0000043780  0.0000098359
    1182.0  0.0002954382  0.0002941333  0.0000043120  0.0000096933
    1183.0  0.0002814656  0.0002802206  0.0000040790  0.0000092349
    1184.0  0.0002613633  0.0002602049  0.0000037364  0.0000085753
    1185.0  0.0002401587  0.0002390915  0.0000033673  0.0000078796
    1186.0  0.0002230699  0.0002220759  0.0000030597  0.0000073189
