Flux units are Wm-2/cm-1   
    wavn(cm-1) flxtoa_up     flxsfc_dn
     645.5     0.1538909     0.4430218
     646.5     0.1389611     0.4419775
     647.5     0.1652982     0.4438801
     648.5     0.1772147     0.4433763
     649.5     0.1653802     0.4430676
     650.5     0.1664880     0.4434474
     651.5     0.1549795     0.4426384
     652.5     0.1483457     0.4420560
     653.5     0.1642946     0.4429242
     654.5     0.1499753     0.4416882
     655.5     0.1535475     0.4415821
     656.5     0.1626683     0.4421719
     657.5     0.1468569     0.4408874
     658.5     0.1573475     0.4411761
     659.5     0.1610060     0.4417007
     660.5     0.1419545     0.4398541
     661.5     0.1576633     0.4402309
     662.5     0.1756004     0.4402455
     663.5     0.1576402     0.4389534
     664.5     0.1612094     0.4391591
     665.5     0.1573982     0.4383975
     666.5     0.1454925     0.4389889
     667.5     0.2343884     0.4402197
     668.5     0.2323072     0.4399964
     669.5     0.1911553     0.4395675
     670.5     0.1535129     0.4385143
     671.5     0.1600803     0.4382134
     672.5     0.1567149     0.4376368
     673.5     0.1425813     0.4368990
     674.5     0.1634342     0.4377556
     675.5     0.1449489     0.4365933
     676.5     0.1512774     0.4364953
     677.5     0.1614803     0.4369496
     678.5     0.1384777     0.4358147
     679.5     0.1573396     0.4360333
     680.5     0.1563223     0.4357165
     681.5     0.1357584     0.4345488
     682.5     0.1584815     0.4353735
     683.5     0.1458825     0.4341618
     684.5     0.1391470     0.4336912
     685.5     0.1531916     0.4342791
     686.5     0.1276640     0.4325137
     687.5     0.1481777     0.4338770
     688.5     0.1462399     0.4330989
     689.5     0.1319243     0.4317739
     690.5     0.1461247     0.4324500
     691.5     0.1347086     0.4304834
     692.5     0.1346343     0.4300170
     693.5     0.1374470     0.4312587
     694.5     0.1261683     0.4294019
     695.5     0.1391560     0.4297141
     696.5     0.1336885     0.4297851
     697.5     0.1322863     0.4285893
     698.5     0.1321622     0.4291006
     699.5     0.1330565     0.4249517
     700.5     0.1367817     0.4258898
     701.5     0.1343777     0.4255605
     702.5     0.1408776     0.4226687
     703.5     0.1423688     0.4260244
     704.5     0.1466054     0.4230292
     705.5     0.1463276     0.4258833
     706.5     0.1574876     0.4210469
     707.5     0.1639739     0.4216170
     708.5     0.1548303     0.4188300
     709.5     0.1637225     0.4161243
     710.5     0.1740769     0.4124638
     711.5     0.1786560     0.4124715
     712.5     0.1909531     0.4074053
     713.5     0.1621537     0.4208601
     714.5     0.2123580     0.4048372
     715.5     0.2022891     0.3965266
     716.5     0.1877988     0.4043137
     717.5     0.2241088     0.3942155
     718.5     0.1503203     0.4146038
     719.5     0.1311836     0.4197864
     720.5     0.1496741     0.4218662
     721.5     0.1887460     0.3998848
     722.5     0.2397955     0.3712498
     723.5     0.2281927     0.3742442
     724.5     0.2760026     0.3555072
